Rank,CCA3,Country,Capital,Continent,2022 Population
92,PRT,Portugal,Lisbon,Europe,"10,270,865.00 "
136,PRI,Puerto Rico,San Juan,North America,"3,252,407.00 "
143,QAT,Qatar,Doha,Asia,"2,695,122.00 "
114,COG,Republic of the Congo,Brazzaville,Africa,"5,970,424.00 "
161,REU,Reunion,Saint-Denis,Africa,"974,052.00 "
64,ROU,Romania,Bucharest,Europe,"19,659,267.00 "
9,RUS,Russia,Moscow,Europe,"144,713,314.00 "
76,RWA,Rwanda,Kigali,Africa,"13,776,698.00 "
228,BLM,Saint Barthelemy,Gustavia,North America,"10,967.00 "
211,KNA,Saint Kitts and Nevis,Basseterre,North America,"47,657.00 "
190,LCA,Saint Lucia,Castries,North America,"179,857.00 "
220,MAF,Saint Martin,Marigot,North America,"31,791.00 "
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,"5,862.00 "
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,"103,948.00 "
188,WSM,Samoa,Apia,Oceania,"222,382.00 "
218,SMR,San Marino,San Marino,Europe,"33,660.00 "
187,STP,Sao Tome and Principe,São Tomé,Africa,"227,380.00 "
41,SAU,Saudi Arabia,Riyadh,Asia,"36,408,820.00 "
72,SEN,Senegal,Dakar,Africa,"17,316,449.00 "
105,SRB,Serbia,Belgrade,Europe,"7,221,365.00 "
196,SYC,Seychelles,Victoria,Africa,"107,118.00 "
102,SLE,Sierra Leone,Freetown,Africa,"8,605,718.00 "
113,SGP,Singapore,Singapore,Asia,"5,975,689.00 "
214,SXM,Sint Maarten,Philipsburg,North America,"44,175.00 "
116,SVK,Slovakia,Bratislava,Europe,"5,643,453.00 "
148,SVN,Slovenia,Ljubljana,Europe,"2,119,844.00 "
166,SLB,Solomon Islands,Honiara,Oceania,"724,273.00 "
70,SOM,Somalia,Mogadishu,Africa,"17,597,511.00 "
24,ZAF,South Africa,Pretoria,Africa,"59,893,885.00 "
29,KOR,South Korea,Seoul,Asia,"51,815,810.00 "
86,SSD,South Sudan,Juba,Africa,"10,913,164.00 "
30,ESP,Spain,Madrid,Europe,"47,558,630.00 "
61,LKA,Sri Lanka,Colombo,Asia,"21,832,143.00 "
32,SDN,Sudan,Khartoum,Africa,"46,874,204.00 "
170,SUR,Suriname,Paramaribo,South America,"618,040.00 "
87,SWE,Sweden,Stockholm,Europe,"10,549,347.00 "
101,CHE,Switzerland,Bern,Europe,"8,740,472.00 "
60,SYR,Syria,Damascus,Asia,"22,125,249.00 "
57,TWN,Taiwan,Taipei,Asia,"23,893,394.00 "
95,TJK,Tajikistan,Dushanbe,Asia,"9,952,787.00 "
22,TZA,Tanzania,Dodoma,Africa,"65,497,748.00 "
20,THA,Thailand,Bangkok,Asia,"71,697,030.00 "
155,TLS,Timor-Leste,Dili,Asia,"1,341,296.00 "
100,TGO,Togo,Lomé,Africa,"8,848,699.00 "
233,TKL,Tokelau,Nukunonu,Oceania,"1,871.00 "
197,TON,Tonga,Nuku‘alofa,Oceania,"106,858.00 "
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,"1,531,044.00 "
79,TUN,Tunisia,Tunis,Africa,"12,356,117.00 "
18,TUR,Turkey,Ankara,Asia,"85,341,241.00 "
111,TKM,Turkmenistan,Ashgabat,Asia,"6,430,770.00 "
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,"45,703.00 "
227,TUV,Tuvalu,Funafuti,Oceania,"11,312.00 "
31,UGA,Uganda,Kampala,Africa,"47,249,585.00 "
38,UKR,Ukraine,Kiev,Europe,"39,701,739.00 "
97,ARE,United Arab Emirates,Abu Dhabi,Asia,"9,441,129.00 "
21,GBR,United Kingdom,London,Europe,"67,508,936.00 "
3,USA,United States,"Washington, D.C.",North America,"338,289,857.00 "
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,"99,465.00 "
133,URY,Uruguay,Montevideo,South America,"3,422,794.00 "
43,UZB,Uzbekistan,Tashkent,Asia,"34,627,652.00 "
181,VUT,Vanuatu,Port-Vila,Oceania,"326,740.00 "
234,VAT,Vatican City,Vatican City,Europe,510.00 
51,VEN,Venezuela,Caracas,South America,"28,301,696.00 "
16,VNM,Vietnam,Hanoi,Asia,"98,186,856.00 "
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,"11,572.00 "
172,ESH,Western Sahara,El Aaiún,Africa,"575,986.00 "
46,YEM,Yemen,Sanaa,Asia,"33,696,614.00 "
63,ZMB,Zambia,Lusaka,Africa,"20,017,675.00 "
74,ZWE,Zimbabwe,Harare,Africa,"16,320,537.00 "
